model_id,method_id,method_label,session_id,clusters,cases,nonexecution_cases,unsafe_proceed_nonexecution,unsafe_proceed_rate_nonexecution,all_nonexecution_contained,executable_cases,static_plan_fidelity_execute,static_plan_fidelity_rate_execute,false_nonexecution_execute,parse_errors,strict_success_cases,strict_success_rate
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,09aae7d9,19,95,38,29,0.7631578947368421,False,57,0,0.0,20,29,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,09aae7d9,19,95,38,0,0.0,True,57,0,0.0,57,29,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,09aae7d9,19,95,38,0,0.0,True,57,0,0.0,57,39,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,09aae7d9,19,95,38,0,0.0,True,57,0,0.0,56,30,0,0.0
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,0cec9497,20,100,40,33,0.825,False,60,0,0.0,14,21,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,0cec9497,20,100,40,0,0.0,True,60,0,0.0,60,21,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,0cec9497,20,100,40,0,0.0,True,60,0,0.0,60,32,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,0cec9497,20,100,40,0,0.0,True,60,0,0.0,60,20,0,0.0
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,1a9c1abc,18,90,36,26,0.7222222222222222,False,54,0,0.0,14,24,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,1a9c1abc,18,90,36,0,0.0,True,54,0,0.0,54,24,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,1a9c1abc,18,90,36,0,0.0,True,54,0,0.0,54,36,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,1a9c1abc,18,90,36,0,0.0,True,54,0,0.0,54,30,0,0.0
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,4aa67fd7,19,95,38,25,0.6578947368421053,False,57,0,0.0,19,32,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,4aa67fd7,19,95,38,0,0.0,True,57,0,0.0,57,32,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,4aa67fd7,19,95,38,0,0.0,True,57,0,0.0,57,30,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,4aa67fd7,19,95,38,0,0.0,True,57,0,0.0,57,32,0,0.0
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,640b66d4,19,95,38,27,0.7105263157894737,False,57,0,0.0,25,36,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,640b66d4,19,95,38,1,0.02631578947368421,False,57,0,0.0,57,36,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,640b66d4,19,95,38,0,0.0,True,57,0,0.0,57,34,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,640b66d4,19,95,38,1,0.02631578947368421,False,57,0,0.0,57,30,0,0.0
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,76802002,19,95,38,35,0.9210526315789473,False,57,0,0.0,9,12,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,76802002,19,95,38,0,0.0,True,57,0,0.0,57,12,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,76802002,19,95,38,0,0.0,True,57,0,0.0,57,25,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,76802002,19,95,38,0,0.0,True,57,0,0.0,57,15,0,0.0
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,83533bc1,19,95,38,30,0.7894736842105263,False,57,0,0.0,26,34,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,83533bc1,19,95,38,0,0.0,True,57,0,0.0,57,34,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,83533bc1,19,95,38,0,0.0,True,57,0,0.0,57,48,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,83533bc1,19,95,38,0,0.0,True,57,0,0.0,57,32,0,0.0
Qwen/Qwen2.5-3B-Instruct,M1_monolithic,M1_monolithic,9d4d90ca,19,95,38,31,0.8157894736842105,False,57,0,0.0,18,25,0,0.0
Qwen/Qwen2.5-3B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,9d4d90ca,19,95,38,0,0.0,True,57,0,0.0,56,25,0,0.0
Qwen/Qwen2.5-3B-Instruct,M3_stage_wise,M3_stage_wise,9d4d90ca,19,95,38,0,0.0,True,57,0,0.0,57,32,0,0.0
Qwen/Qwen2.5-3B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,9d4d90ca,19,95,38,0,0.0,True,57,0,0.0,57,31,0,0.0
