repetition,model_id,model_label,method_id,method_label,metric_id,metric_label,unit,role,cluster_count,cases_per_cluster,mean,median,sample_standard_deviation,minimum,maximum
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,8453568157.013333,8468024524.8,86224690.41908844,8216366284.8,8544780288.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,1546.2004466666667,1359.2653,482.53961758155526,1004.7428,2901.9829999999997
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,98.16000000000001,100.0,3.5195611011641192,90.4,100.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,2787.5533333333337,2285.6000000000004,1320.7549436573775,1210.2,5609.6
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,8.539440798926565,7.598619783699542,2.8315946665894454,5.7044716531978334,16.705950259401288
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,1.0,1.0,0.0,1.0,1.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,247.54,226.9,78.06637582520888,137.8,426.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1255176874.6666667,1254704332.8,7039815.4216680275,1241662259.2,1269202944.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,7972337309.013333,7986793676.8,86224690.41908844,7735135436.8,8063549440.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,80.90666666666667,81.6,1.5462821559298692,77.4,82.4
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,8453568157.013333,8468024524.8,86224690.41908844,8216366284.8,8544780288.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,1516.57954,1330.2198,484.8966372193254,932.3621999999999,2890.0576
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,98.19333333333334,100.0,3.3930896644893376,90.2,100.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,2787.5533333333337,2285.6000000000004,1320.7549436573775,1210.2,5609.6
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,8.360089137233492,7.401680559700617,2.806933727715629,5.26957676680031,16.532017288000496
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,1.0,1.0,0.0,1.0,1.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,247.54,226.9,78.06637582520888,137.8,426.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1256110516.9066665,1255145881.6,13145261.943404352,1231729459.2,1281439334.4
